-- server=DESKTOP-9368KF9 database=bloodmoon_gameserver_raw_analysis readonly=1
context
db=bloodmoon_gameserver_raw_analysis server=DESKTOP-9368KF9
-- end result set
name	type_desc	create_date	modify_date	def_len	uses_ansi_nulls	uses_quoted_identifier	is_schema_bound	execute_as_principal_id	def_state
DF__DmN_Vip_P__wcoin__37C5420D	DEFAULT_CONSTRAINT	05/28/2026 19:27:42	05/28/2026 19:27:42	NULL	NULL	NULL	NULL	NULL	ENCRYPTED_OR_NULL
DF_CashShopData_WCoinC	DEFAULT_CONSTRAINT	04/22/2026 13:20:20	04/22/2026 13:20:20	NULL	NULL	NULL	NULL	NULL	ENCRYPTED_OR_NULL
DF_CashShopData_WCoinP	DEFAULT_CONSTRAINT	04/22/2026 13:20:20	04/22/2026 13:20:20	NULL	NULL	NULL	NULL	NULL	ENCRYPTED_OR_NULL
DF_CustomPlayToEarn_WCoinC	DEFAULT_CONSTRAINT	04/22/2026 13:20:20	04/22/2026 13:20:20	NULL	NULL	NULL	NULL	NULL	ENCRYPTED_OR_NULL
DF_CustomPlayToEarn_WCoinP	DEFAULT_CONSTRAINT	04/22/2026 13:20:20	04/22/2026 13:20:20	NULL	NULL	NULL	NULL	NULL	ENCRYPTED_OR_NULL
LuckyCoin	USER_TABLE	04/22/2026 13:20:20	04/22/2026 13:20:20	NULL	NULL	NULL	NULL	NULL	ENCRYPTED_OR_NULL
PK_LuckyCoin	PRIMARY_KEY_CONSTRAINT	04/22/2026 13:20:20	04/22/2026 13:20:20	NULL	NULL	NULL	NULL	NULL	ENCRYPTED_OR_NULL
WZ_SetCoin	SQL_STORED_PROCEDURE	04/22/2026 13:20:21	04/22/2026 13:20:21	1218	True	True	False	NULL	PLAINTEXT
-- end result set
